,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,371,郑州市,2250353.843,672075.6147,175519.6377,175519.6377,46813974.47,2800.315061,652884508.4,2922429.457,0.004476181,0.003446787,22
1,531,济南市,3623015.715,1564445.356,314285.7006,314285.7006,83825166,5014.247937,1169055884,5187461.071,0.004437308,0.003099095,16
2,7311,长沙市,2677536.88,758630.0648,158499.3964,158499.3964,42274396.16,2528.766883,589573918.2,3436166.945,0.005828221,0.004541478,23
3,572,湖州市,23827070.87,7957912.582,1889357.12,1889357.12,503922621.9,30143.60827,7027885946,31784983.45,0.004522695,0.003390361,49
4,24,沈阳市/铁岭市/抚顺市,5253556.828,708019.2032,205451.8722,205451.8722,54797393.78,3277.866681,764224142.6,5961576.031,0.007800821,0.006874366,45
5,760,中山市,19013479.18,6342555.009,1060112.102,1060112.102,353436669,21141.85003,4929154777,25356034.19,0.005144094,0.003857351,43
6,311,石家庄市,8486903.677,2590300.541,644270.7769,644270.7769,171837613.7,10278.9704,2396509103,11077204.22,0.004622225,0.003541361,22
7,28,成都市/资阳市/眉山市,4191461.638,952583.4259,226161.1019,226161.1019,60320885.98,3608.270553,841256749.4,5144045.064,0.006114715,0.004982381,34
8,29,西安市/咸阳市,4820178.596,598917.4499,156413.611,156413.611,41718082.89,2495.489374,581815373.5,5419096.045,0.009314116,0.008284722,45
9,711,鄂州市,4171477.217,623120.3413,216979.2687,216979.2687,57871940.02,3461.779674,807102869.1,4794597.559,0.005940504,0.005168458,25
