天津市,中山市,湖州市,鄂州市
"('保定市', 6756847)","('惠州市', 8960873)","('杭州市', 12656969)","('黄山市', 9825833)"
"('无锡市', 113884)","('安庆市', 151033)","('无锡市', 213329)","('安庆市', 165611)"
"('合肥市', 85224)","('中山市', 113024)","('苏州市', 159643)","('合肥市', 123933)"
"('德州市', 878813)","('东莞市', 1165474)","('无锡市', 1646197)","('长沙市', 1277973)"
"('苏州市', 330982)","('珠海市', 438945)","('苏州市', 619997)","('苏州市', 481315)"
"('盐城市', 2902783)","('肇庆市', 3849647)","('杭州市', 5437512)","('杭州市', 4221239)"
"('保定市', 61518)","('东莞市', 81585)","('保定市', 115236)","('石家庄市', 89460)"
"('益阳市', 233712)","('深圳市', 309947)","('泉州市', 437792)","('益阳市', 339865)"
"('石家庄市', 96987)","('广州市', 128623)","('上海市', 181677)","('上海市', 141039)"
"('长春市', 779720)","('珠海市', 1034058)","('广州市', 1460577)","('广州市', 1133872)"
"('廊坊市', 247952)","('荆州市', 328831)","('无锡市', 464464)","('荆州市', 360572)"
"('常州市', 6908)","('中山市', 9161)","('苏州市', 12939)","('常州市', 10045)"
"('武汉市', 6028364)","('东莞市', 7994765)","('武汉市', 11292370)","('武汉市', 8766470)"
"('保定市', 1701)","('珠海市', 2256)","('金华市', 3187)","('金华市', 2474)"
"('济宁市', 16276651)","('广州市', 21585955)","('杭州市', 30489526)","('杭州市', 23669568)"
"('天津市', 183285)","('绍兴市', 243071)","('无锡市', 343331)","('无锡市', 266534)"
