中山市,贵阳市,泉州市,湖州市,天津市,郑州市,沈阳市/铁岭市/抚顺市,鄂州市
"('清远市', 8966526)","('贵阳市', 805489)","('汕头市', 1308578)","('杭州市', 13043924)","('保定市', 5953764)","('保定市', 3185184)","('保定市', 1291931)","('黄山市', 3645127)"
"('安庆市', 151128)","('安庆市', 13576)","('安庆市', 22056)","('无锡市', 219851)","('无锡市', 100349)","('安庆市', 53685)","('无锡市', 21775)","('安庆市', 61437)"
"('中山市', 113095)","('南宁市/崇左市', 10160)","('福州市', 16505)","('苏州市', 164523)","('合肥市', 75095)","('合肥市', 40175)","('合肥市', 16295)","('合肥市', 45976)"
"('东莞市', 1166209)","('长沙市', 104764)","('温州市', 170197)","('上海市', 1696526)","('德州市', 774362)","('德州市', 414273)","('沈阳市/铁岭市/抚顺市', 168032)","('长沙市', 474094)"
"('珠海市', 439222)","('广州市', 39457)","('福州市', 64100)","('苏州市', 638952)","('苏州市', 291643)","('苏州市', 156025)","('苏州市', 63285)","('苏州市', 178555)"
"('肇庆市', 3852075)","('肇庆市', 346043)","('温州市', 562173)","('杭州市', 5603751)","('盐城市', 2557774)","('盐城市', 1368375)","('盐城市', 555022)","('杭州市', 1565969)"
"('东莞市', 81636)","('东莞市', 7334)","('深圳市', 11914)","('保定市', 118759)","('保定市', 54207)","('石家庄市', 29000)","('保定市', 11762)","('石家庄市', 33187)"
"('深圳市', 310143)","('益阳市', 27861)","('泉州市', 45262)","('泉州市', 451176)","('益阳市', 205935)","('益阳市', 110172)","('益阳市', 44687)","('益阳市', 126081)"
"('广州市', 128705)","('广州市', 11562)","('深圳市', 18783)","('上海市', 187231)","('石家庄市', 85460)","('石家庄市', 45720)","('石家庄市', 18544)","('上海市', 52322)"
"('珠海市', 1034711)","('广州市', 92951)","('深圳市', 151006)","('深圳市', 1505230)","('长春市', 687047)","('广州市', 367561)","('长春市', 149085)","('广州市', 420637)"
"('荆州市', 329039)","('荆州市', 29558)","('绍兴市', 48020)","('绍兴市', 478664)","('廊坊市', 218481)","('济宁市', 116885)","('廊坊市', 47409)","('荆州市', 133763)"
"('中山市', 9167)","('中山市', 823)","('泉州市', 1338)","('苏州市', 13335)","('常州市', 6087)","('常州市', 3256)","('常州市', 1321)","('常州市', 3726)"
"('东莞市', 7999808)","('东莞市', 718646)","('厦门市', 1167495)","('福州市', 11637606)","('武汉市', 5311864)","('武汉市', 2841776)","('武汉市', 1152643)","('武汉市', 3252131)"
"('珠海市', 2257)","('广州市', 203)","('泉州市', 329)","('金华市', 3284)","('保定市', 1499)","('保定市', 802)","('沈阳市/铁岭市/抚顺市', 325)","('金华市', 918)"
"('广州市', 21599572)","('广州市', 1940352)","('广州市', 3152250)","('杭州市', 31421666)","('济宁市', 14342094)","('济宁市', 7672828)","('长春市', 3112148)","('杭州市', 8780790)"
"('绍兴市', 243225)","('成都市/资阳市/眉山市', 21850)","('绍兴市', 35496)","('绍兴市', 353828)","('天津市', 161501)","('廊坊市', 86401)","('天津市', 35045)","('无锡市', 98877)"
