,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU10,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9
广州市,20,23.125178,113.280637,760,22.521113,113.382391,0,0,109573.8351,0,0,0,0,0,18389005.67,0
广州市,20,23.125178,113.280637,851,26.578343,106.713478,0,0,27055.1455,217507.8959,0,0,0,474.5490183,4540474.682,0
广州市,20,23.125178,113.280637,371,34.757975,113.665412,0,0,0,332989.6225,0,0,0,0,0,0
广州市,20,23.125178,113.280637,711,30.396536,114.890593,0,0,0,212131.1068,0,0,0,0,0,0
上海市,21,31.231706,121.472644,572,30.867198,120.102398,0,0,138510.3295,0,0,0,0,0,0,0
上海市,21,31.231706,121.472644,711,30.396536,114.890593,0,0,26386.34305,0,0,0,0,0,0,0
天津市,22,39.125596,117.190182,22,39.125596,117.190182,0,0,0,0,0,0,0,0,0,170965.057
武汉市,27,30.584355,114.298572,22,39.125596,117.190182,0,0,0,0,0,0,5623146.403,0,0,0
武汉市,27,30.584355,114.298572,371,34.757975,113.665412,0,0,0,0,0,0,2574490.882,0,0,0
武汉市,27,30.584355,114.298572,711,30.396536,114.890593,0,0,0,0,0,0,1640079.94,0,0,0
眉山市,28,30.659462,104.065735,851,26.578343,106.713478,0,0,0,0,0,0,0,0,0,51128.57055
石家庄市,311,38.045474,114.502461,22,39.125596,117.190182,0,0,90467.70608,0,0,0,0,0,0,0
石家庄市,311,38.045474,114.502461,371,34.757975,113.665412,0,0,41419.56616,0,0,0,0,0,0,0
保定市,312,38.867657,115.482331,22,39.125596,117.190182,6302661.934,0,0,0,0,0,0,1586.809471,0,0
保定市,312,38.867657,115.482331,371,34.757975,113.665412,2885599.008,0,0,0,0,0,0,726.5018946,0,0
廊坊市,316,39.523927,116.704441,22,39.125596,117.190182,0,0,0,0,231284.6209,0,0,0,0,0
廊坊市,316,39.523927,116.704441,371,34.757975,113.665412,0,0,0,0,0,0,0,0,0,78274.32348
长春市,431,43.886841,125.3245,22,39.125596,117.190182,0,0,0,727308.6151,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,572,30.867198,120.102398,0,162642.026,0,0,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,22,39.125596,117.190182,0,106229.2686,0,0,0,0,0,0,0,0
无锡市,510,31.574729,120.301663,711,30.396536,114.890593,0,0,0,0,0,0,0,0,0,49864.6737
苏州市,512,31.299379,120.619585,572,30.867198,120.102398,0,0,0,0,0,9864.98879,0,0,0,0
常州市,519,31.772752,119.946973,22,39.125596,117.190182,0,0,0,0,0,6443.294949,0,0,0,0
常州市,519,31.772752,119.946973,371,34.757975,113.665412,0,0,0,0,0,2949.986166,0,0,0,0
常州市,519,31.772752,119.946973,711,30.396536,114.890593,0,0,0,0,0,1879.289287,0,0,0,0
济宁市,537,35.415393,116.587245,22,39.125596,117.190182,0,0,0,0,0,0,0,0,15182558.49,0
济宁市,537,35.415393,116.587245,371,34.757975,113.665412,0,0,0,0,105890.9203,0,0,0,6951154.32,0
安庆市,556,30.50883,117.043551,760,22.521113,113.382391,0,128664.1263,0,0,0,0,0,0,0,0
安庆市,556,30.50883,117.043551,851,26.578343,106.713478,0,31768.77632,0,0,0,0,0,0,0,0
安庆市,556,30.50883,117.043551,371,34.757975,113.665412,0,48635.81062,0,0,0,0,0,0,0,0
安庆市,556,30.50883,117.043551,711,30.396536,114.890593,0,30983.45305,0,0,0,0,0,0,0,0
黄山市,559,29.709239,118.317325,711,30.396536,114.890593,1838271.435,0,0,0,0,0,0,0,0,0
杭州市,571,30.287459,120.153576,572,30.867198,120.102398,9649673.005,0,0,0,0,0,0,0,23245213.91,0
杭州市,571,30.287459,120.153576,711,30.396536,114.890593,0,0,0,0,0,0,0,0,4428234.274,0
绍兴市,575,29.997117,120.582112,760,22.521113,113.382391,0,0,0,0,0,0,0,0,0,207071.6477
绍兴市,575,29.997117,120.582112,572,30.867198,120.102398,0,0,0,0,354107.6748,0,0,0,0,261755.5745
金华市,579,29.089524,119.649506,572,30.867198,120.102398,0,0,0,0,0,0,0,2429.480222,0,0
金华市,579,29.089524,119.649506,711,30.396536,114.890593,0,0,0,0,0,0,0,462.8181798,0,0
福州市,591,26.075302,119.306239,572,30.867198,120.102398,0,0,0,0,0,0,8609302.643,0,0,0
荆州市,716,30.326857,112.23813,760,22.521113,113.382391,0,0,0,0,280130.2697,0,0,0,0,0
荆州市,716,30.326857,112.23813,851,26.578343,106.713478,0,0,0,0,69167.65484,0,0,0,0,0
荆州市,716,30.326857,112.23813,711,30.396536,114.890593,0,0,0,0,67457.83234,0,0,0,0,0
深圳市,755,22.547,114.085947,572,30.867198,120.102398,0,0,0,1113543.83,0,0,0,0,0,0
珠海市,756,22.224979,113.553986,760,22.521113,113.382391,0,0,0,880910.9647,0,0,0,1921.932221,0,0
中山市,760,22.521113,113.382391,760,22.521113,113.382391,0,0,0,0,0,7804.07251,0,0,0,0
中山市,760,22.521113,113.382391,851,26.578343,106.713478,0,0,0,0,0,1926.922765,0,0,0,0
清远市,763,23.685022,113.051227,760,22.521113,113.382391,7633738.814,0,0,0,0,0,0,0,0,0
东莞市,769,23.046237,113.746262,760,22.521113,113.382391,0,0,0,0,0,0,6810714.489,0,0,0
东莞市,769,23.046237,113.746262,851,26.578343,106.713478,0,0,0,0,0,0,1681650.289,0,0,0
贵阳市,851,26.578343,106.713478,851,26.578343,106.713478,1884865.252,0,0,0,0,0,0,0,0,0
