中山市,成都市/资阳市/眉山市,湖州市,石家庄市,沈阳市/铁岭市/抚顺市
"('清远市', 8928876)","('贵阳市', 2229167)","('杭州市', 15684709)","('保定市', 5159095)","('保定市', 1162395)"
"('安庆市', 150493)","('安庆市', 37572)","('无锡市', 264361)","('安庆市', 86955)","('无锡市', 19592)"
"('广州市', 128164)","('石家庄市', 31997)","('上海市', 225137)","('石家庄市', 74053)","('石家庄市', 16685)"
"('珠海市', 1030366)","('广州市', 257239)","('深圳市', 1809969)","('长春市', 595344)","('长春市', 134137)"
"('荆州市', 327657)","('荆州市', 81802)","('绍兴市', 575571)","('廊坊市', 189320)","('廊坊市', 42656)"
"('中山市', 9128)","('中山市', 2279)","('苏州市', 16035)","('常州市', 5274)","('常州市', 1188)"
"('东莞市', 7966218)","('武汉市', 1988832)","('福州市', 13993677)","('武汉市', 4602872)","('武汉市', 1037072)"
"('珠海市', 2248)","('广州市', 561)","('金华市', 3949)","('保定市', 1299)","('沈阳市/铁岭市/抚顺市', 293)"
"('广州市', 21508878)","('济宁市', 5369867)","('杭州市', 37783086)","('济宁市', 12427806)","('长春市', 2800106)"
"('绍兴市', 242203)","('成都市/资阳市/眉山市', 60468)","('绍兴市', 425461)","('廊坊市', 139945)","('天津市', 31531)"
