RDC,Trans_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,8616247.367960764,181994536.57331926,0.0,16228342.652231677,26939445.986421444,233778572.5799331,61470.994894816955,509599.79999999993,68165.25000000001
2,7860581.327487168,141691216.10645136,0.0,17749207.45825006,26939445.986421455,194240450.87861007,64544.54463955769,441004.50000000006,68165.25000000001
3,9005920.366920343,124121617.63559705,0.0,18472064.2244081,26939445.986421473,178539048.21334696,67771.7718715356,331967.33,80033.08
4,10652828.0061847,116120257.9864017,0.0,19318897.464848667,26939445.986421466,173031429.44385654,71160.36046511242,274721.23000000004,85806.53999999998
5,10529186.854889927,113205193.1380221,0.0,20184663.87707864,26939445.98642147,170858489.85641214,74718.37848836803,247464.63,123126.84333339997
6,10760570.439837012,109816231.29865292,0.0,21247896.29434035,26939445.98642147,168764144.01925173,78454.29741278644,232422.42,123126.84333339997
7,10915024.811403884,107595007.30079663,0.0,22258948.256396838,26939445.986421473,167708426.35501882,82377.01228342576,212861.86999999997,123126.84333339997
8,11039385.744735528,104747958.20757432,0.0,23277174.916082047,26939445.98642147,166003964.85481337,86495.86289759706,206226.26999999996,123126.84333339997
9,11180017.17692416,101900190.76189722,0.0,24161111.117298394,26939445.98642147,164180765.04254124,90820.65604247691,203706.25999999998,65744.24
10,11361067.764292484,99806194.99630009,0.0,25359410.52764476,26939445.986421473,163466119.2746588,95361.68884460075,198540.8,65744.24
11,11510172.950990845,98119196.77522565,0.0,26608768.324878585,26939445.986421473,163177584.03751653,100129.77328683081,192589.39999999997,65744.24
12,11582050.4381077,97067037.23861599,0.0,27935993.19337407,26939445.986421473,163524526.85651922,105136.26195117235,185372.97999999998,65744.24
13,11657729.028100466,97067037.238616,0.0,29332792.853042785,26939445.98642147,164997005.10618073,110393.07504873097,182037.15999999997,65744.24
