成都市/资阳市/眉山市,东莞市,沈阳市/铁岭市/抚顺市,天津市,武汉市,湖州市
"('贵阳市', 2252855)","('惠州市', 8491593)","('保定市', 1147221)","('保定市', 5857816)","('黄山市', 3164174)","('杭州市', 12250582)"
"('安庆市', 37971)","('安庆市', 143123)","('无锡市', 19336)","('无锡市', 98732)","('安庆市', 53331)","('无锡市', 206479)"
"('石家庄市', 32337)","('广州市', 121887)","('石家庄市', 16467)","('石家庄市', 84082)","('上海市', 45418)","('上海市', 175843)"
"('广州市', 259973)","('广州市', 979905)","('长春市', 132386)","('长春市', 675975)","('广州市', 365136)","('深圳市', 1413681)"
"('荆州市', 82672)","('荆州市', 311610)","('廊坊市', 42099)","('廊坊市', 214960)","('荆州市', 116114)","('绍兴市', 449552)"
"('中山市', 2303)","('深圳市', 8681)","('常州市', 1173)","('常州市', 5989)","('常州市', 3235)","('苏州市', 12524)"
"('武汉市', 2009966)","('东莞市', 7576080)","('武汉市', 1023534)","('武汉市', 5226261)","('武汉市', 2823032)","('福州市', 10929797)"
"('广州市', 567)","('广州市', 2138)","('沈阳市/铁岭市/抚顺市', 289)","('保定市', 1475)","('金华市', 797)","('金华市', 3084)"
"('济宁市', 5426931)","('广州市', 20455501)","('长春市', 2763554)","('济宁市', 14110964)","('杭州市', 7622218)","('杭州市', 29510576)"
"('成都市/资阳市/眉山市', 61111)","('绍兴市', 230342)","('天津市', 31119)","('天津市', 158898)","('无锡市', 85831)","('绍兴市', 332307)"
